City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
105,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,69,40,12.66,scattered clouds
106,Piopio,NZ,-38.4667,175.0167,51.08,99,17,1.05,few clouds
107,San Blas,MX,21.5167,-105.2667,93.09,46,0,6.55,clear sky
108,Hobart,AU,-42.8794,147.3294,52.05,90,73,5.75,broken clouds
109,Thompson,CA,55.7435,-97.8558,17.76,32,20,6.91,few clouds
110,Nikolskoye,RU,59.7035,30.7861,41.72,96,100,4.76,overcast clouds
111,Vaini,TO,-21.2,-175.2,71.76,94,100,18.41,light rain
112,Puerto Ayora,EC,-0.7393,-90.3518,76.96,79,82,9.19,broken clouds
113,Norman Wells,CA,65.282,-126.8329,39.24,65,75,3.44,broken clouds
114,Kieta,PG,-6.2167,155.6333,78.8,80,82,1.74,broken clouds
115,Tuatapere,NZ,-46.1333,167.6833,43.57,84,25,6.78,scattered clouds
116,Beboto,TD,8.2668,16.939,88.09,40,99,9.04,overcast clouds
117,Grand Baie,MU,-20.0182,57.5802,76.44,68,3,5.01,clear sky
118,Chokurdakh,RU,70.6333,147.9167,6.62,91,100,6.55,overcast clouds
119,Lebu,CL,-37.6167,-73.65,56.46,68,100,20.33,overcast clouds
120,Fairbanks,US,64.8378,-147.7164,41.34,66,100,0.0,overcast clouds
121,Palana,RU,59.1167,159.9667,24.26,92,100,12.66,overcast clouds
122,Shwebo,MM,22.5667,95.7,91.15,25,4,7.11,clear sky
123,Codajas,BR,-3.8367,-62.0569,85.93,73,89,3.53,overcast clouds
124,Edd,ER,13.9297,41.6925,90.19,56,32,18.5,scattered clouds
125,Lodja,CD,-3.4833,23.4333,72.48,96,89,1.21,moderate rain
126,Bengkulu,ID,-3.8004,102.2655,77.02,89,99,6.76,overcast clouds
127,Karratha,AU,-20.7377,116.8463,77.94,66,42,8.34,moderate rain
128,Mahebourg,MU,-20.4081,57.7,76.24,73,40,11.5,scattered clouds
129,Promissao,BR,-21.5367,-49.8581,89.62,39,0,9.1,clear sky
130,Sandwick,GB,60.0,-1.25,44.42,81,75,11.5,light intensity shower rain
131,Svetlaya,RU,46.5389,138.3297,38.93,83,100,17.85,overcast clouds
132,Padang,ID,-0.9492,100.3543,77.97,87,100,3.47,light rain
133,Zanjan,IR,36.6736,48.4787,59.14,52,100,5.55,overcast clouds
134,Port Hardy,CA,50.6996,-127.4199,44.78,87,75,6.91,light intensity shower rain
135,Sao Filipe,CV,14.8961,-24.4956,77.52,63,2,8.63,clear sky
136,Port Shepstone,ZA,-30.7414,30.455,67.48,67,39,21.34,scattered clouds
137,Hami,CN,42.8,93.45,66.43,21,74,8.79,broken clouds
138,Bredasdorp,ZA,-34.5322,20.0403,57.2,68,12,5.08,few clouds
139,Walvis Bay,NA,-22.9575,14.5053,68.95,52,0,6.91,clear sky
140,Ilulissat,GL,69.2167,-51.1,28.42,86,75,3.44,light snow
141,Torbay,CA,47.6666,-52.7314,43.88,94,72,17.0,light rain
142,Namibe,AO,-15.1961,12.1522,72.28,77,2,7.74,clear sky
143,Changli,CN,39.7042,119.1506,55.13,97,19,3.67,few clouds
144,Bati,ET,11.1833,40.0167,70.74,57,87,5.91,overcast clouds
145,Tiarei,PF,-17.5333,-149.3333,77.02,74,9,5.17,clear sky
146,Oxford,GB,51.7522,-1.256,56.75,67,40,10.36,scattered clouds
147,Saskylakh,RU,71.9167,114.0833,-8.46,100,80,3.65,broken clouds
148,San Patricio,US,28.017,-97.5169,86.18,57,24,16.06,few clouds
149,Port Keats,AU,-14.25,129.55,82.56,46,85,4.94,overcast clouds
150,Unity,CA,52.4501,-109.1682,42.19,56,31,19.86,scattered clouds
151,Kusti,SD,13.1629,32.6635,95.0,6,21,2.62,few clouds
152,Ponta Do Sol,PT,32.6667,-17.1,65.01,99,57,10.29,broken clouds
153,Isangel,VU,-19.55,169.2667,76.44,71,99,15.17,overcast clouds
154,Lavrentiya,RU,65.5833,-171.0,15.94,89,77,6.71,broken clouds
155,Tadine,NC,-21.55,167.8833,72.7,71,98,17.87,overcast clouds
156,Bilibino,RU,68.0546,166.4372,9.73,90,100,4.47,overcast clouds
157,Cap Malheureux,MU,-19.9842,57.6142,76.46,68,3,5.01,clear sky
158,Severo-Kurilsk,RU,50.6789,156.125,31.53,88,99,17.98,light snow
159,Hailar,CN,49.2,119.7,33.35,97,95,19.55,light snow
160,Ust-Nera,RU,64.5667,143.2,0.5,100,39,3.18,scattered clouds
161,Virden,US,39.5009,-89.7679,55.65,62,90,14.88,overcast clouds
162,Lagoa,PT,39.05,-27.9833,58.15,72,3,12.39,clear sky
163,Verkhoyansk,RU,67.5447,133.385,4.71,100,96,1.59,overcast clouds
164,Tazmalt,DZ,36.3868,4.3989,73.44,51,100,4.94,overcast clouds
165,Yellowknife,CA,62.456,-114.3525,34.32,60,75,12.66,broken clouds
166,Marsa Matruh,EG,31.3525,27.2453,66.45,70,52,7.9,broken clouds
167,Bethel,US,41.3712,-73.414,64.18,34,100,4.0,overcast clouds
168,Ulan-Ude,RU,51.8261,107.6098,30.09,42,20,6.71,few clouds
169,Burnie,AU,-41.0667,145.9167,56.95,1,65,7.94,broken clouds
170,Clyde River,CA,70.4692,-68.5914,8.83,85,100,25.32,light snow
171,Vao,NC,-22.6667,167.4833,74.05,60,100,22.79,overcast clouds
172,Bonavista,CA,48.6499,-53.1147,37.09,91,76,15.23,broken clouds
173,Victoria,HK,22.2855,114.1577,82.45,82,20,8.99,few clouds
174,Monrovia,LR,6.3005,-10.7969,89.37,72,92,7.85,overcast clouds
175,Fortuna,US,40.5982,-124.1573,57.92,83,20,4.61,few clouds
176,Azul,AR,-36.777,-59.8585,66.34,17,0,4.74,clear sky
177,Melfi,IT,40.9965,15.6514,54.3,73,11,7.7,few clouds
178,Port Blair,IN,11.6667,92.75,82.44,83,20,2.3,mist
179,San Luis,AR,-33.295,-66.3356,80.38,28,0,7.65,clear sky
180,Borogontsy,RU,62.6683,131.1683,14.32,97,60,3.38,broken clouds
181,New Norfolk,AU,-42.7826,147.0587,51.71,84,73,2.39,broken clouds
182,Pandan Niog,PH,6.2282,120.5631,83.16,74,85,1.1,overcast clouds
183,Lebyazhye,RU,55.2689,66.4947,50.85,75,86,13.76,overcast clouds
184,Teguldet,RU,57.3064,88.1667,28.76,91,49,6.11,scattered clouds
185,San Felipe,VE,10.3399,-68.7425,81.25,70,100,3.6,overcast clouds
186,Ribeira Grande,PT,38.5167,-28.7,64.8,63,20,12.66,few clouds
187,Touros,BR,-5.1989,-35.4608,86.02,59,32,13.35,scattered clouds
188,Bluff,NZ,-46.6,168.3333,50.81,65,17,22.57,few clouds
189,Airai,TL,-8.9266,125.4092,58.08,78,100,0.96,overcast clouds
190,Cartagena,CO,10.3997,-75.5144,89.22,62,40,12.66,scattered clouds
191,Vangaindrano,MG,-23.35,47.6,73.27,83,98,4.47,overcast clouds
192,Broome,US,42.2506,-75.833,69.53,55,0,14.97,clear sky
193,Shelburne,CA,44.0787,-80.2041,56.19,74,100,9.1,overcast clouds
194,Teo,ES,42.75,-8.5,64.35,61,20,9.22,few clouds
195,Kaitangata,NZ,-46.2817,169.8464,46.26,74,3,12.03,clear sky
196,Kodiak,US,57.79,-152.4072,38.71,65,100,12.66,overcast clouds
197,Alofi,NU,-19.0595,-169.9187,75.09,94,99,9.22,overcast clouds
198,Yibin,CN,28.7667,104.6238,67.12,79,99,4.16,overcast clouds
199,Saint-Pierre,RE,-21.3393,55.4781,73.29,78,0,8.05,clear sky
200,Rawson,AR,-43.3002,-65.1023,62.76,26,83,20.27,broken clouds
201,Plettenberg Bay,ZA,-34.0527,23.3716,58.39,74,32,4.79,scattered clouds
202,Port Macquarie,AU,-31.4333,152.9167,58.89,80,100,1.03,overcast clouds
203,Divinopolis,BR,-20.1389,-44.8839,83.48,47,32,5.77,scattered clouds
204,Mount Gambier,AU,-37.8333,140.7667,54.57,80,93,4.76,overcast clouds
205,Meulaboh,ID,4.1363,96.1285,78.03,86,100,5.53,moderate rain
206,Nanortalik,GL,60.1432,-45.2371,35.1,90,87,10.74,overcast clouds
207,Luanda,AO,-8.8368,13.2343,78.12,81,64,11.88,broken clouds
208,Boyolangu,ID,-8.1181,111.8935,76.33,91,58,1.41,broken clouds
209,Sanary-Sur-Mer,FR,43.1178,5.8001,68.86,80,94,7.0,overcast clouds
210,Oeiras Do Para,BR,-2.0031,-49.8544,83.77,79,59,3.96,broken clouds
211,Livingstone,ZM,-17.8419,25.8543,74.5,45,81,3.4,broken clouds
212,Tateyama,JP,34.9833,139.8667,62.1,88,94,3.51,overcast clouds
213,Ancud,CL,-41.8697,-73.8203,51.22,93,100,28.63,moderate rain
214,Flinders,AU,-34.5833,150.8552,61.18,92,100,5.99,overcast clouds
215,Muret,FR,43.3333,1.25,64.6,68,50,4.09,scattered clouds
216,Cidreira,BR,-30.1811,-50.2056,75.79,65,95,12.84,moderate rain
217,Nieuwpoort,BE,51.1244,2.7735,52.23,76,75,13.8,broken clouds
218,Elizabeth City,US,36.2946,-76.2511,85.05,54,0,6.91,clear sky
219,Balykshi,KZ,47.0667,51.8667,59.0,55,0,6.71,clear sky
220,Sechura,PE,-5.5569,-80.8222,77.13,62,62,11.59,broken clouds
221,Upernavik,GL,72.7868,-56.1549,20.53,82,29,1.36,scattered clouds
222,Kahului,US,20.8947,-156.47,73.42,83,40,20.71,scattered clouds
223,Magadan,RU,59.5667,150.8,23.94,69,100,8.59,overcast clouds
224,Sobolevo,RU,54.4299,31.8996,49.01,93,100,3.38,overcast clouds
225,Yambio,SS,4.5721,28.3955,72.75,76,88,2.1,overcast clouds
226,La Romana,DO,18.4273,-68.9728,84.56,54,40,11.5,scattered clouds
227,Morlaix,FR,48.5833,-4.0,60.85,68,0,12.66,clear sky
228,Misratah,LY,32.3754,15.0925,66.45,61,93,13.51,overcast clouds
229,Pringsewu,ID,-5.3582,104.9744,74.46,97,75,3.02,broken clouds
230,Tessalit,ML,20.1986,1.0114,92.75,10,0,19.64,clear sky
231,Tambopata,PE,-12.7333,-69.1833,87.69,66,40,2.3,scattered clouds
232,Port Elizabeth,ZA,-33.918,25.5701,60.31,90,0,13.8,clear sky
233,Mollendo,PE,-17.0231,-72.0147,70.57,74,100,8.99,overcast clouds
234,Geraldton,AU,-28.7667,114.6,70.21,73,100,18.41,overcast clouds
235,Ixtapa,MX,20.7,-105.2,76.23,69,0,6.91,clear sky
236,Jacqueville,CI,5.2052,-4.4146,80.44,82,85,10.25,overcast clouds
237,Mashhad,IR,36.297,59.6062,71.74,46,0,4.61,clear sky
238,Meadow Lake,US,34.8014,-106.5436,60.62,27,0,2.24,clear sky
239,Iqaluit,CA,63.7506,-68.5145,4.73,85,100,31.07,snow
240,Jinchang,CN,38.4953,102.1739,56.73,28,41,1.54,scattered clouds
241,Bhagwantnagar,IN,26.2333,80.75,93.54,11,0,6.24,clear sky
242,Asfi,MA,32.2994,-9.2372,63.9,64,47,15.64,scattered clouds
243,Baracoa,CU,20.3467,-74.4958,80.28,70,99,12.26,overcast clouds
244,Cumberland,US,35.0502,-78.8664,84.87,44,0,9.22,clear sky
245,Thai Binh,VN,20.45,106.3333,76.41,94,8,8.86,clear sky
246,Alihe,CN,50.5667,123.7167,36.81,46,100,11.18,overcast clouds
247,West Bay,KY,19.3667,-81.4167,78.87,76,75,17.27,broken clouds
248,Cururupu,BR,-1.8283,-44.8683,81.77,84,96,6.11,overcast clouds
249,Kovdor,RU,67.5662,30.4758,36.57,95,100,1.12,overcast clouds
250,Hambantota,LK,6.1241,81.1185,81.72,79,79,2.82,broken clouds
251,Whitehorse,CA,60.7161,-135.0538,39.09,83,75,2.3,light snow
252,Praia Da Vitoria,PT,38.7333,-27.0667,64.65,68,20,14.32,few clouds
253,Lima,PE,-12.0432,-77.0282,71.38,69,40,4.61,scattered clouds
254,Altay,CN,47.8667,88.1167,44.44,54,100,5.3,overcast clouds
255,Sabang,ID,5.8933,95.3214,83.86,75,100,14.07,light rain
256,Monduli,TZ,-3.3,36.45,65.62,80,100,3.94,light rain
257,East London,ZA,-33.0153,27.9116,58.14,88,0,9.22,clear sky
258,San Cristobal,VE,7.7669,-72.225,73.58,50,100,6.71,overcast clouds
259,Azanka,RU,58.0401,64.7893,42.98,93,81,6.49,broken clouds
260,Srednekolymsk,RU,67.45,153.6833,0.01,99,91,4.59,overcast clouds
261,Provideniya,RU,64.3833,-173.3,21.83,90,33,12.19,scattered clouds
262,Sabha,LY,27.0377,14.4283,90.36,8,99,12.73,overcast clouds
263,Westport,US,41.1415,-73.3579,62.31,42,100,8.99,overcast clouds
264,Djibo,BF,14.1022,-1.6306,102.85,7,6,7.4,clear sky
265,Wagga Wagga,AU,-35.1167,147.3667,58.6,88,42,8.05,scattered clouds
266,Balingasay,PH,16.3573,119.8564,84.2,74,36,6.49,scattered clouds
267,Filottrano,IT,43.4355,13.3514,63.28,47,53,4.5,broken clouds
268,Kondinskoye,RU,59.6481,67.41,36.54,100,93,5.66,overcast clouds
269,Husavik,IS,66.0449,-17.3389,43.66,74,82,3.83,broken clouds
270,Marienburg,PL,54.0359,19.0266,44.85,90,100,9.95,overcast clouds
271,Adeje,ES,28.1227,-16.726,70.02,83,40,19.57,scattered clouds
272,Baykit,RU,61.67,96.37,20.55,95,97,2.51,overcast clouds
273,Bud,US,39.447,-86.1758,58.98,97,100,9.46,overcast clouds
274,Panlaitan,PH,12.1191,119.8486,83.68,76,58,4.99,broken clouds
275,Bandarbeyla,SO,9.4942,50.8122,82.96,69,47,8.79,scattered clouds
276,Nanpiao,CN,41.0982,120.7479,56.77,93,17,7.81,few clouds
277,Faya,SA,18.3851,42.4509,66.31,49,13,5.23,few clouds
278,Hervey Bay,AU,-25.2986,152.8535,71.02,73,100,7.0,overcast clouds
279,Mossendjo,CG,-2.9506,12.7261,75.42,85,100,2.71,overcast clouds
280,Abaetetuba,BR,-1.7181,-48.8825,83.97,75,63,3.0,broken clouds
281,Tazovskiy,RU,67.4667,78.7,5.54,96,76,7.94,broken clouds
282,Fort Nelson,CA,58.8053,-122.7002,35.19,87,100,2.3,light rain
283,Karpathos,GR,35.507,27.2132,66.16,63,0,11.5,clear sky
284,Deputatskiy,RU,69.3,139.9,0.34,99,100,2.48,overcast clouds
285,Ajdabiya,LY,30.7554,20.2263,75.34,41,100,11.25,overcast clouds
286,Mapanas,PH,12.475,125.2562,79.21,91,100,10.07,light rain
287,Neyshabur,IR,36.2133,58.7958,73.36,31,58,8.03,broken clouds
288,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,77,20,10.0,few clouds
289,Saint George,US,37.1041,-113.5841,65.62,19,0,4.61,clear sky
290,Mongoumba,CF,3.6415,18.5936,81.88,63,97,6.38,overcast clouds
291,Berlevag,NO,70.8578,29.0864,30.2,63,100,14.03,overcast clouds
292,Barra,BR,-11.0894,-43.1417,91.27,31,0,7.58,clear sky
293,Palu,ID,-0.8917,119.8707,75.74,95,95,2.48,overcast clouds
294,Pisco,PE,-13.7,-76.2167,70.02,83,0,8.05,clear sky
295,Verkhnevilyuysk,RU,63.4453,120.3167,21.72,97,99,3.44,overcast clouds
296,Okahandja,NA,-21.9833,16.9167,76.33,25,50,7.31,scattered clouds
297,Porto Novo,BJ,6.4965,2.6036,85.26,68,43,9.8,scattered clouds
298,Jalu,LY,29.0331,21.5482,88.79,9,85,8.75,overcast clouds
299,Mahajanga,MG,-15.7167,46.3167,83.97,64,97,10.11,overcast clouds
300,Chuy,UY,-33.6971,-53.4616,65.53,98,100,8.32,moderate rain
301,Leningradskiy,RU,69.3833,178.4167,2.66,96,81,6.06,broken clouds
302,Solnechnyy,RU,50.7214,136.6319,20.59,90,78,3.29,broken clouds
303,Villanueva,HN,15.3167,-88.0,93.04,51,40,5.75,scattered clouds
304,Mecca,SA,21.4267,39.8261,84.76,55,8,3.44,clear sky
305,Goderich,CA,43.7501,-81.7165,55.72,71,99,4.61,overcast clouds
306,Bambous Virieux,MU,-20.3428,57.7575,76.21,73,40,11.5,scattered clouds
307,Margate,GB,51.3813,1.3862,54.3,81,76,10.0,broken clouds
308,Shimoda,JP,34.6667,138.95,64.11,88,95,1.21,overcast clouds
309,Montenegro,ME,42.5,19.3,58.75,45,20,10.36,few clouds
